,0,1,accuracy,macro avg,weighted avg
precision,"{'mean': 0.9590822557372795, 'std_dev': 0.0005367008620508286, '95% CI': (0.9586775551708133, 0.9594869563037456), 'margin': 0.00040470056646613184}","{'mean': 0.7997205959973243, 'std_dev': 0.003916226857775064, '95% CI': (0.7967675557847651, 0.8026736362098834), 'margin': 0.002953040212559155}",,"{'mean': 0.8794014258673017, 'std_dev': 0.0020045170842461044, '95% CI': (0.8778899149739048, 0.8809129367606987), 'margin': 0.0015115108933969612}","{'mean': 0.9449242536674344, 'std_dev': 0.0006295361213363104, '95% CI': (0.9444495504520489, 0.9453989568828198), 'margin': 0.00047470321538545246}"
recall,"{'mean': 0.9861161717437172, 'std_dev': 0.0003588704066261059, '95% CI': (0.9858455646567553, 0.9863867788306792), 'margin': 0.00027060708696191593}","{'mean': 0.5685172951980733, 'std_dev': 0.0059528814748512305, '95% CI': (0.5640285107087545, 0.573006079687392), 'margin': 0.004488784489318776}",,"{'mean': 0.7773167334708951, 'std_dev': 0.0029231634941668814, '95% CI': (0.7751125150587207, 0.7795209518830696), 'margin': 0.0022042184121744413}","{'mean': 0.9490158632972099, 'std_dev': 0.0005236602510934954, '95% CI': (0.9486209960345722, 0.9494107305598476), 'margin': 0.0003948672626377103}"
f1-score,"{'mean': 0.9724112201034408, 'std_dev': 0.00027859949292935893, '95% CI': (0.9722011414906083, 0.9726212987162733), 'margin': 0.0002100786128325094}","{'mean': 0.6645644473232506, 'std_dev': 0.0044008562125348195, '95% CI': (0.661245971188625, 0.6678829234578761), 'margin': 0.0033184761346255476}",,"{'mean': 0.8184878337133459, 'std_dev': 0.0023315636785442542, '95% CI': (0.8167297125546561, 0.8202459548720357), 'margin': 0.001758121158689785}","{'mean': 0.9450615060233242, 'std_dev': 0.0006350675807451586, '95% CI': (0.9445826317977645, 0.9455403802488839), 'margin': 0.00047887422555970005}"
mean,,,0.9490158632972099,,
std_dev,,,0.0005236602510934954,,
95% CI,,,"(0.9486209960345722, 0.9494107305598476)",,
margin,,,0.0003948672626377103,,
