,0,1,accuracy,macro avg,weighted avg
precision,"{'mean': 0.979705452790169, 'std_dev': 0.00041803973820660304, '95% CI': (0.9793902289274551, 0.9800206766528828), 'margin': 0.0003152238627138759}","{'mean': 0.9205724163725192, 'std_dev': 0.0032317849823710384, '95% CI': (0.9181354811902942, 0.9230093515547442), 'margin': 0.0024369351822249863}",,"{'mean': 0.950138934581344, 'std_dev': 0.0015460091298586513, '95% CI': (0.9489731627056949, 0.9513047064569932), 'margin': 0.0011657718756491464}","{'mean': 0.9744519555573576, 'std_dev': 0.00037665304656984256, '95% CI': (0.974167939428288, 0.9747359716864272), 'margin': 0.0002840161290695864}"
recall,"{'mean': 0.9933610117798782, 'std_dev': 0.0003077368002209771, '95% CI': (0.9931289621109137, 0.9935930614488427), 'margin': 0.00023204966896450685}","{'mean': 0.7889566463960996, 'std_dev': 0.004471311942368061, '95% CI': (0.785585042950172, 0.7923282498420273), 'margin': 0.0033716034459276845}",,"{'mean': 0.8911588290879889, 'std_dev': 0.0021629409795024947, '95% CI': (0.8895278582781182, 0.8927897998978597), 'margin': 0.0016309708098707354}","{'mean': 0.9752013224445152, 'std_dev': 0.00035399982581795853, '95% CI': (0.9749343880306408, 0.9754682568583896), 'margin': 0.00026693441387437566}"
f1-score,"{'mean': 0.9864858769903672, 'std_dev': 0.00019131686579204775, '95% CI': (0.986341614050925, 0.9866301399298093), 'margin': 0.0001442629394421413}","{'mean': 0.8496852224433118, 'std_dev': 0.002402438270543706, '95% CI': (0.8478736581293034, 0.8514967867573202), 'margin': 0.001811564314008418}",,"{'mean': 0.9180855497168394, 'std_dev': 0.001294500584715234, '95% CI': (0.917109428460162, 0.9190616709735169), 'margin': 0.0009761212566774535}","{'mean': 0.974332234993555, 'std_dev': 0.0003852903033170114, '95% CI': (0.9740417059204127, 0.9746227640666973), 'margin': 0.00029052907314230936}"
mean,,,0.9752013224445152,,
std_dev,,,0.00035399982581795853,,
95% CI,,,"(0.9749343880306408, 0.9754682568583896)",,
margin,,,0.00026693441387437566,,
